term_id,compact_name,label,comment,sub_class_of,type,term_status,version,last_modified
gs1:AdditionalProductClassificationDetails,AdditionalProductClassificationDetails,Additional Product Classification Details,A product classification for the product other than the Global Product Classification(GPC brick value).,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:AdditiveDetails,AdditiveDetails,Additive Details,A set of details about one of the additives within the product.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:AllergenDetails,AllergenDetails,Allergen Details,Details of an allergen for a product.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:AuthenticityDetails,AuthenticityDetails,Authenticity Details,A set of details about covert or overt security features that may contribute to checking the authenticity of a product or product instance.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:AwardPrizeDetails,AwardPrizeDetails,Award Prize,Describes a prize or award won by a product or organization.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:Beverage,Beverage,Beverage,Any potable liquid.,gs1:FoodBeverageTobaccoProduct,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:Brand,Brand,Brand,Information on brands and sub-brands for a product.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:CertificationDetails,CertificationDetails,Certification,"Certification issued by a certifying body to a certification subject (Organization, Place, Product).",owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:Clothing,Clothing,Clothing,A product that is worn on the body.,gs1:WearableProduct,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:ColourCodeDetails,ColourCodeDetails,Colour Code Details,"A set of colour code details (colour code, party controlling the code list) for the product.",owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:CompulsoryAdditionalInformation,CompulsoryAdditionalInformation,Compulsory Additional Information,The group of compulsory information about a product.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:ContactPoint,ContactPoint,Contact,Information on an individual or department acting as point of contact for an organiation.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:Country,Country,Country,Country is a complex data type that indicates a country and a country subdivision.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:DietTypeCodeDetails,DietTypeCodeDetails,Diet Type Code Details,A set of diet type code details (diet type code and diet type sub code) for the product.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:Discount,Discount,Discount,Provides information on a discount applicable to an offer for example 2 percent.,,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:FoodAndBeveragePreparationInformation,FoodAndBeveragePreparationInformation,Food and Beverage Preparation Information,Food and Beverage Preparation Information is a complex data type that indicates a preparation state code and preparation instructions.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:FoodBeverageTobaccoIngredientDetails,FoodBeverageTobaccoIngredientDetails,Food Beverage Tobacco Ingredient,Food Beverage Tobacco Ingredient is a complex data type that includes an ingredient statement and details.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:FoodBeverageTobaccoProduct,FoodBeverageTobaccoProduct,Food Beverage Tobacco Product,"A food, beverage or tobacco product.",gs1:Product,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:Footwear,Footwear,Footwear,Outerwear that is worn on the feet such as shoes or boots.,gs1:WearableProduct,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:FruitsVegetables,FruitsVegetables,Fruits and Vegetables,Contains properties related specifically to fruit and vegetable products.,gs1:FoodBeverageTobaccoProduct,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:GeoCoordinates,GeoCoordinates,GeoCoordinates,The geographic coordinates of a place or event.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:GeoShape,GeoShape,GeoShape,The geographic shape of a place. A GeoShape can be described using several properties whose values are based on latitude/longitude pairs. Either whitespace or commas can be used to separate latitude and longitude; whitespace should be used when writing a list of several such points.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:LocationID_Details,LocationID_Details,Location ID Details,"Government bodies, trade organisations, and other parties issue identifiers that are associated to locations. Linking these identifiers to GLN and one another supports consolidating records, mapping related, collaborative identifiers, enhances search ability and enables more efficient transitions between identifiers. This class provides a mechanism for connecting and sharing location identifiers.",owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:LocationStatusHistory,LocationStatusHistory,Location Status History,"Over the lifetime of a location, it may go through periods of being active and inactive. gs1:LocationStatusHistory allows changes in status to be communicated in advance and tracked over time.",owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:MeatPoultry,MeatPoultry,Meat Poultry,Meat and poultry products.,gs1:FoodBeverageTobaccoProduct,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:Message,Message,Message,Any kind of electronic message for communication of information from one party to one or more other parties.,,rdfs:Class; owl:Class,provisional,1.17,2025-11-18
gs1:MilkButterCreamYogurtCheeseEggsSubstitutes,MilkButterCreamYogurtCheeseEggsSubstitutes,Milk Butter Cream Yogurt Cheese Eggs Substitutes,Milk butter cream yogurts cheese eggs and any substitutes for these products.,gs1:FoodBeverageTobaccoProduct,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:NutritionMeasurementType,NutritionMeasurementType,Nutrition Measurement Type,A class providing nutritional value and intake percent.,gs1:QuantitativeValue,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:Offer,Offer,Offer,"An offer to transfer some rights to an item or to provide a service,for example, an offer to sell tickets to an event, to rent the DVD of a movie, to stream a TV show over the internet, to repair a motorcycle, or to loan a book.",owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:OrganicClaimDetails,OrganicClaimDetails,Organic Claim Details,A set of organic claim details for the product.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:Organization,Organization,Organization,An Organization is any legal or physical entity involved at any point in any supply chain and upon which there is a need to retrieve predefined information. An Organization is uniquely identified by a Global Location Number (GLN).,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:OrganizationID_Details,OrganizationID_Details,Organisation ID Details,"Government bodies, trade organisations, and other parties issue identifiers that are associated to legal entities and/or functions. Linking these identifiers to GLN and one another supports consolidating records, mapping related, collaborative identifiers, enhances search ability and enables more efficient transitions between identifiers. This class provides a mechanism for connecting and sharing party identifiers.",owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:OrganizationStatusHistory,OrganizationStatusHistory,Organisation Status History,"Over the lifetime of an organisation, it may go through periods of being active and inactive. gs1:OrganizationStatusHistory allows changes in status to be communicated in advance and tracked over time.",owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:PackagingDetails,PackagingDetails,Packaging,"Details on packaging for a product for example packaging type (bottle), materials, features, recycling, etc..",owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:PackagingMaterialDetails,PackagingMaterialDetails,Packaging Material Details,Information on any material used for packaging.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:Place,Place,Place,"Entities that have a somewhat fixed, physical location.",owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:PostalAddress,PostalAddress,Address,The location at which a particular organization or person may be found or reached.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:PriceSpecification,PriceSpecification,Price Specification,"A structured value representing a monetary amount, consisting of a value and currency code.",owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:Product,Product,Product,"Any item (product or service) upon which there is a need to retrieve pre-defined information and that may be priced, or ordered, or invoiced at any point in any supply chain.",owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:ProductYieldDetails,ProductYieldDetails,Product Yield Details,A grouping of properties related to the yield of a food or beverage product according to a specified type of preparation.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:QuantitativeValue,QuantitativeValue,Measurement Type,A point value or interval for product characteristics and other purposes. A unit of measurement is also specified.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:ReferencedFileDetails,ReferencedFileDetails,Referenced File,Provides URL and other information on a referenced electronic file.,owl:Thing; schema:MediaObject,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:RegulatoryIdentifier,RegulatoryIdentifier,Regulatory Identifier,"A repeatable grouping of identifiers that reference one document, record or dataset within one regulatory information system, repository or registry",,rdfs:Class; owl:Class,provisional,1.17,2025-11-18
gs1:RegulatoryInformation,RegulatoryInformation,Regulatory Information,Information on applicable government regulations applicable to a trade item,,rdfs:Class; owl:Class,provisional,1.17,2025-11-18
gs1:RegulatoryNotification,RegulatoryNotification,Regulatory Notification,A notification message about information on applicable government regulations applicable to a trade item,gs1:Message,rdfs:Class; owl:Class,provisional,1.17,2025-11-18
gs1:ReturnablePackageDepositDetails,ReturnablePackageDepositDetails,Returnable Package Deposit Details,Details of the deposit for returnable packaging for a product.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:Seafood,Seafood,Seafood,Seafood Products including fish and shellfish.,gs1:FoodBeverageTobaccoProduct,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:SizeCodeDetails,SizeCodeDetails,Size Code Details,"A grouping of properties related to the representing the size of a product, by specifying a value from a specified code list.",owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:SizeDetails,SizeDetails,Size Details,A grouping of properties related to the size of a wearable product,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:TargetMarketDetails,TargetMarketDetails,Target Market Details,A set of target market details (product release date and associated countries) for the product.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:TextileMaterialDetails,TextileMaterialDetails,Textile Material,Details on the composition of any materials used to make a product using textiles.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:Transaction,Transaction,Transaction,A repeatable grouping of identifiers that identify a business transaction ID and its type,,rdfs:Class; owl:Class,provisional,1.17,2025-11-18
gs1:TypeCode,TypeCode,Type Code,A code list.,owl:Thing,owl:Class; rdfs:Class,stable,1.17,2025-11-18
gs1:WarrantyPromise,WarrantyPromise,Warranty,An assurance that the product is reliable and that repairs or replacement will be done free of charge within a given time limit and under certain conditions in the event of a defect.,owl:Thing,rdfs:Class; owl:Class,stable,1.17,2025-11-18
gs1:WearableProduct,WearableProduct,Wearable Product,Products that are worn on the body.,gs1:Product,rdfs:Class; owl:Class,stable,1.17,2025-11-18
